GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PersonalProject,bg.softuni.paintShop.model.entity,OrderEntity.OrderEntityBuilder,45,0,0,0,1,0,7,0,7,0
PersonalProject,bg.softuni.paintShop.model.entity,ProductQuantityTrackerEntity,85,24,14,0,3,5,13,7,6,7
PersonalProject,bg.softuni.paintShop.model.entity,UserEntity.UserEntityBuilder,90,0,0,0,1,0,12,0,12,0
PersonalProject,bg.softuni.paintShop.model.entity,ProductEntity.ProductEntityBuilder,72,0,0,0,1,0,10,0,10,0
PersonalProject,bg.softuni.paintShop.model.entity,ProductEntity,46,117,8,6,2,11,9,19,2,19
PersonalProject,bg.softuni.paintShop.model.entity,UsedProductEntity,110,59,14,0,3,10,13,17,6,17
PersonalProject,bg.softuni.paintShop.model.entity,CommentEntity,77,56,9,5,4,6,14,10,7,10
PersonalProject,bg.softuni.paintShop.model.entity,RoleEntity,78,19,14,0,3,4,13,5,6,5
PersonalProject,bg.softuni.paintShop.model.entity,OrderProductEntity,84,37,14,0,3,6,13,9,6,9
PersonalProject,bg.softuni.paintShop.model.entity,CommentEntity.CommentEntityBuilder,54,0,0,0,1,0,8,0,8,0
PersonalProject,bg.softuni.paintShop.model.entity,RoleEntity.RoleEntityBuilder,27,0,0,0,1,0,5,0,5,0
PersonalProject,bg.softuni.paintShop.model.entity,OrderProductEntity.OrderProductEntityBuilder,45,0,0,0,1,0,7,0,7,0
PersonalProject,bg.softuni.paintShop.exceptionHandling,GlobalExceptionHandler,5,3,0,0,1,1,1,1,1,1
PersonalProject,bg.softuni.paintShop.config,WebConfiguration,0,10,0,0,0,3,0,2,0,2
PersonalProject,bg.softuni.paintShop.config,SecurityConfiguration,0,102,0,0,0,25,0,4,0,4
PersonalProject,bg.softuni.paintShop.config,ApplicationConfig,0,7,0,0,0,2,0,2,0,2
PersonalProject,bg.softuni.paintShop.interceptors,LoggingInterceptor,16,64,2,6,5,18,2,6,0,4
PersonalProject,bg.softuni.paintShop.web,HomeController,0,80,0,0,0,11,0,8,0,8
PersonalProject,bg.softuni.paintShop.web,ShoppingCartController,0,78,0,0,0,15,0,6,0,6
PersonalProject,bg.softuni.paintShop.web,ProductController,34,102,0,0,4,15,1,7,1,7
PersonalProject,bg.softuni.paintShop.web,UsedProductController,65,127,1,3,11,25,3,10,2,9
PersonalProject,bg.softuni.paintShop.web,AdminController,7,431,0,14,0,87,1,41,1,34
PersonalProject,bg.softuni.paintShop.web,CommentRestController,43,48,0,2,7,8,1,5,1,4
PersonalProject,bg.softuni.paintShop.web,OrderController,0,6,0,0,0,1,0,1,0,1
PersonalProject,bg.softuni.paintShop.web,UserController,25,75,2,4,7,18,3,8,1,7
PersonalProject,bg.softuni.paintShop,AppDbInitializer,0,10,0,0,0,3,0,2,0,2
PersonalProject,bg.softuni.paintShop,PersonalProjectApplication,5,3,0,0,2,1,1,1,1,1
